,SMILES,Absorption solvent,Emission solvent,Absorption (nm),Emission (nm),DOI
6481,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC=CC(C5=[N]1C(=CC(=C5)C1=CC=C(C)C=C1)C1=CC=CC=C1[O-]2)=[C-]34)[C]1N(C)C2=C(C=CC=C2)N1C,ClCCl,,356.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6482,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC(=C1)C(C)(C)C)=[N]34)C1=CC=C(C)C=C1)[N]1=CN(C)C=C1,ClCCl,,368.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6483,CN1[C](N(C)C2=CC=CC=C12)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=CC(=CC=C1[O-]2)C(C)(C)C)=[N]34)C1=CC=C(C)C=C1)[C]1N(C)C2=C(C=CC=C2)N1C,ClCCl,,362.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6484,,ClCCl,,358.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6485,CN1C=C[N](=C1)[Ir+3]123([O-]C4=CC=CC=C4C4=CC(=CC(C5=[C-]1C(=CC=C5)C1=C([O-]2)C=CC=C1)=[N]34)C1=CC=C(C)C=C1)[C-]#[N+]C1=C(C)C=CC=C1C,ClCCl,,348.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6486,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([C-]#[N+]C1=C(C)C=CC=C1C)[N]1=CC=CC=C1,ClCCl,,346.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6487,CC1=CC=C(C=C1)C1=CC2=[N]3C(=C1)C1=CC=CC=C1[O-][Ir+3]31([O-]C3=C(C=CC=C3)C3=CC=CC2=[C-]13)([C-]#[N+]C1=C(C)C=CC=C1C)[P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,ClCCl,,350.0,,https://doi.org/10.1007/978-1-4939-2401-1_115
6488,[C@@-]123[CH]4=[CH]5[Fe++]14146789[C@@-]%10([CH]1=[CH]4[CH]6=[CH]7%10)[P]2([Ir+]124([CH]6=[CH]1CC[CH]2=[CH]4CC6)[Cl-])C1=C(C)C=C(C)C=C1C.[CH]38=[CH]59,ClCCl,,446.0,,https://doi.org/10.1002/chem.201700868
6489,FC1=C[C-]2=C(C=C1)C1=[N](C=CS1)[Ir+3]2123[C-]4=C(C=CC(F)=C4)C4=[N]1C=CS4.FC1=C[C-]2=C(C=C1)C1=[N]3C=CS1,ClCCl,,402.0,,https://doi.org/10.5325/j.ctv14gpfnz.17
6490,FC1=C[C-]2=C(C3=[N](C=CS3)[Ir+3]2234[C-]5=C(C6=[N]2C=CS6)C(F)=CC(F)=C5)C(F)=C1.FC1=C[C-]3=C(C2=[N]4C=CS2)C(F)=C1,ClCCl,,382.0,,https://doi.org/10.5325/j.ctv14gpfnz.17
6491,[H-][Ir+3]12([O-]C(C)=CC(C)=[O]1)([C-]1=C(C=CC=C1)C1=[N]2C2=CC=CC=C2C=C1)[P](C(C)C)(C(C)C)C(C)C,CC1CCCO1,,440.0,,https://doi.org/10.1021/acs.organomet.7b00108
6492,CC(C)[P](C(C)C)(C(C)C)[Ir+3]12([O-]C(C)=CC(C)=[O]1)(\[CH-]=C\C1=CC=CC=C1)[C-]1=C(C=CC=C1)C1=[N]2C2=CC=CC=C2C=C1,CC1CCCO1,,408.0,,https://doi.org/10.1021/acs.organomet.7b00108
6493,CC(C)[P](C(C)C)(C(C)C)[Ir+3]12([O-]C(C)=CC(C)=[O]1)([CH-]=C)[C-]1=C(C=CC=C1)C1=[N]2C2=CC=CC=C2C=C1,CC1CCCO1,,380.0,,https://doi.org/10.1021/acs.organomet.7b00108
6494,CC(C)[P](C(C)C)(C(C)C)[Ir+3]123([Cl-])[O-]C(C)=CC(C)=[O]1.C1=CC(C4=[N]2C2=CC=CC=C2C=C4)=[C-]3C=C1,CC1CCCO1,,376.0,,https://doi.org/10.1021/acs.organomet.7b00108
6495,CC1=CC(C)=[O][Ir+3]2([Cl-])([O-]1)([C-]1=CC=CC=C1C1=[N]2C2=CC=CC=C2C=C1)[P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,CC1CCCO1,,410.0,,https://doi.org/10.1021/acs.organomet.7b00108
6496,[Ir++]123456([CH3-])[C]7(C)=[C]1(C)[C]2(C)=[C]3(C)[C@@-]47C.C1(C2=[N]5C=CC=C2)=[N]6C=CC=C1,C1CCCO1,,360.0,,https://doi.org/10.1021/acs.organomet.7b00136
6497,CCCC[P](CCCC)(CCCC)[Ir+3]123([O-]S(=O)(=O)C(F)(F)F)[C-]4=CC=CC=C4C4=[N]1C1=CC=CC=C1S4.S1C4=CC=CC=C4[N]2=C1C1=CC=CC=[C-]31,ClCCl,,474.5,,https://doi.org/10.1111/misp.12064
6498,FC(F)(F)S(=O)(=O)[O-][Ir+3]12([C-]3=CC=CC=C3C3=[N]1C1=CC=CC=C1S3)([C-]1=CC=CC=C1C1=[N]2C2=CC=CC=C2S1)[P](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,ClCCl,,472.0,,https://doi.org/10.1111/misp.12064
6499,,Cc1ccccc1,,377.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6500,,C1CCCO1,,377.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6501,,Cc1ccccc1,,374.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6502,,C1CCCO1,,374.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6503,,Cc1ccccc1,,374.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6504,,C1CCCO1,,374.0,,https://doi.org/10.1021/acs.inorgchem.5b02444
6505,C12=C3N(C)[C]4[Ir+3]567([C-]8=CC(C)=CC=C8N4C3=CC=C1C=CC1=C2C2=CC=CC=C2C=C1)[C-]1=C(C2=CC=CC=[N]52)C(F)=CC(F)=C1.[C-]61=C(C2=[N]7C=CC=C2)C(F)=CC(F)=C1,ClCCl,,374.0,,https://doi.org/10.1002/ange.201704263
6506,C1=CC=CC2=[N]1[Ir+3]13([C]4N(C5=C6C(C=CC7=C6C6=CC=CC=C6C=C7)=CC=C5N4C4=CC=C(C=[C-]14)C)C)([C-]1=CC(=CC(=C21)F)F)[C-]1=C(C2=CC=CC=[N]32)C(=CC(=C1)F)F,ClCCl,,374.0,,https://doi.org/10.1002/ange.201704263
